method,answer_reference_similarity,context_relevance,retrieval_hit,faithfulness_proxy,legal_accuracy
graph_rag,0.7345565915107727,0.5731745854020118,1.0,0.9109195068139991,0.7876452732086182
rag_hybrid,0.6096064984798432,0.6472127735614777,1.0,0.9163200282520327,0.6876851987838746
multi_hop,0.6040116012096405,0.641526014606158,1.0,0.9122601864041723,0.6832092809677125
rag_classic,0.6028139352798462,0.6789613922437032,1.0,0.9099866897550314,0.682251148223877
rag_rerank,0.5957965791225434,0.6560376207033793,0.8,0.9060305326878128,0.6766372632980346
agentic_rag,0.4997627377510071,0.5003075341383616,0.8,0.7356748669617101,0.573143523534139
baseline_no_rag,0.1254637621343136,0.0,0.0,0.0,0.16703767637411754
