article_id,infraction_desc,categorie_vehicule,amende_fixe,amende_min,amende_max,points_retrait,mots_cles,role_paragraphe,has_prison,has_license_penalty,source,model_approach,cluster_theme
1,ال يجوز الي شخص ان يسوق مركبه ذات محرك او مجموعه مركبات علي الطريق العموميه ما لم يكن حاصال علي رخصه للسياقه ساريه الصالحيه ومسلمه من قبل االداره، تناسب صنف المركبه او مجموعه المركبات التي يسوقها.,vehicule leger / voiture,,,,,permis,autre,False,False,code de la route MA52_05.pdf,pretrained_sentence_transformer,2
2,استثناء من احكام الماده االولي اعاله : - يجوز للمغاربه القاطنين بالخارج ان يسوقوا، داخل التراب الوطني، خالل مده اقصاها 1 سنه واحده ابتداء من اقامتهم بالمغرب، بواسطه رخصه السياقه المسلمه لهم بالخارج ساريه الصالحيه ؛ - يجوز للسايقين من جنسيه اجنبيه، ان يسوقوا بواسطه رخصه السياقه المسلمه لهم بالخارج 2 ساريه الصالحيه، لكن فقط، خالل مده اقصاها سنه من تاريخ اقامتهم الموقته بالمغرب كما هي محدده في النصوص التشريعيه والتنظيميه المتعلقه بدخول واقامه االجانب بالمملكه المغربيه. 2 االمانه العامه للحكومه 3 الماده يجب علي السايقين الحاصلين علي رخصه سياقه مسلمه بالخارج، بعد انصرام المده المشار اليها في الماده السابقه، ان يتقدموا المتحانات الحصول علي رخصه السياقه المغربيه، او ان يطلبوا تبديل رخصتهم للسياقه تطبيقا للفقرات المواليه. يمكن للمغاربه واالجانب الحاصلين علي رخصه سياقه مسلمه من قبل دوله يربطها بالمغرب اتفاق اعتراف متبادل بسندات السياقه، تبديل سنداتهم مقابل رخصه سياقه مغربيه وفق الشروط المحدده ضي االتفاق المذكور. �بمقت يمكن للحاصلين علي رخصه سياقه مسلمه من قبل دوله تعترف بتبديل رخصه السياقه المغربيه مقابل رخصتها الوطنيه، تبديل سنداتهم مقابل رخصه سياقه مغربيه وفق الشروط التي تحددها االداره. يمكن للمغاربه، القاطنين بالخارج والعايدين بصفه نهاييه الي المغرب، تبديل سنداتهم مقابل رخصه سياقه مغربيه وفق الشروط المحدده من قبل االداره,non specifie,,,,,permis,obligation,False,False,code de la route MA52_05.pdf,pretrained_sentence_transformer,0
4,في حاله السير الدولي ووفقا لالتفاقيه الدوليه للسير علي الطرق، تسلم الهييات الموهله لذلك من قبل االداره، رخصه دوليه للسياقه موضوعه في دفتر خاص. يجوز للسايقين من جنسيه اجنبيه، الحاصلين علي رخصه دوليه للسياقه، السياقه علي التراب 2 من الماده 2 الوطني خالل مده صالحيه الرخصه المذكوره دون ان تتجاوز المده المشار اليها في البند اعاله.,non specifie,,,,,"permis, depassement",autre,False,False,code de la route MA52_05.pdf,pretrained_sentence_transformer,1
5,من 13 بتاريخ 1.16.106 الصادر بتنفيذه الظهري الرشيف رقم 116.14 (غريت ومتمت مبوجب الماده االويل من القانون رقم )5866 :)، ص 2016 اغسطس 11( 1437 ذي القعده 7 بتاريخ 6490 )، ج.ر عدد 2016 يوليو 18 ( 1437 شوال استثناء من احكام الماده االولي اعاله، يجوز للسايقين العسكريين الحاصلين علي اجازه السياقه المسلمه من قبل السلطه التابعين لها، من اجل سياقه المركبات العسكريه : - ان يسوقوا، علي الطريق العموميه المركبات العسكريه التي عهد اليهم بسياقتها من قبل السلطه 1 العسكريه المختصه، شريطه احترام قواعد السير المحدده في هذا القانون والنصوص المتخذه لتطبيقه والقواعد المقرره في شانهم من قبل السلطه العسكريه ؛ - ان يقوموا بتبديل االجازه مقابل رخصه للسياقه من نفس الصنف، مسلمه من قبل االداره 2 10 المدنيه، وفقا للشروط المحدده بنص تنظيمي، دون اجتياز االختبارين المشار اليهما في الماده اسفله. 11 من الماده 2 و1 اسفله شريطه استيفايهم الشروط المحدده في البندين,non specifie,,,,,"permis, alcool",autre,False,False,code de la route MA52_05.pdf,pretrained_sentence_transformer,3
