article_id,infraction_desc,categorie_vehicule,amende_fixe,amende_min,amende_max,points_retrait,mots_cles,role_paragraphe,has_prison,has_license_penalty,source,model_approach,cluster_theme
13,اذا كان المترشح الختبارات امتحان الحصول علي رخصه السياقه مصابا بعجز بدني ال يتنافي مع سياقه المركبات ذات محرك، امكن تعويض هذا العجز بتهييه خاصه للمركبه او بواسطه حمل وباستعمال اجهزه طبيه او هما معا، من قبل السايق تبعا لتعليمات الطبيب الذي اجري الفحص الطبي. يجب ان تشير الشهادات الطبيه الي التقييدات و التهيييات او الي االجهزه الخاصه. 8 االمانه العامه للحكومه. اعاله 7 يبين ذلك في رخصه السياقه وفق احكام الفقره االخيره من الماده,vehicule leger / voiture,,,,,permis,obligation,False,False,code de la route MA52_05.pdf,pretrained_sentence_transformer,5
14,بتاريخ 1.16.106 الصادر بتنفيذه الظهري الرشيف رقم 116.14 (نسخت وعوضت مبوجب الماده الثانيه من القانون رقم )5879 :)، ص 2016 اغسطس 11( 1437 ذي القعده 7 بتاريخ 6490 )، ج.ر عدد 2016 يوليو 18( 1437 من شوال 13 .يجب علي كل شخص حاصل علي رخصه السياقه الخضوع لفحص طبي كل عشر سنوات غير انه يجب تجديد الفحص الطبي كل سنتين، بالنسبه للحاصلين علي رخصه السياقه، الذين سنه . 65 تتجاوز اعمارهم ) E)B(( »)ﮬ (ب«) و B( »ب« يجب علي االشخاص الحاصلين علي رخصه السياقه من االصناف ) عند سياقه المركبات المخصصه لنقل البضايع E)D(( »)ﮬ (د«) و D( »د«) وE)C(( »)ﮬ (ج«) و C( »ج«و او للنقل الجماعي لالشخاص المطابقه لهذه االصناف، اثبات خضوعهم لفحص طبي صالح لسنتين. بعده، ان يامروا بخضوع السايق لفحص 21 غير انه يمكن لالطباء المعتمدين المشار اليهم في الماده طبي دوري لفتره اقل من الفترات المحدده اعاله اذا كانت حالته الصحيه تدعو الي ذلك.,non specifie,,,,,"permis, depassement",obligation,False,False,code de la route MA52_05.pdf,pretrained_sentence_transformer,2
15,اعاله: 14 و12 عالوه علي الفحوص الطبيه المنصوص عليها في المادتين - يخضع لفحص طبي كل شخص حاصل علي رخصه سياقه اصيب بمرض او بعجز منصوص 1 عليه في قايمه تضعها االداره، بعد استشاره المجلس الوطني لهييه االطباء الوطنيه، وذلك داخل اجل ثالثين يوما المواليه لالصابه بالمرض او العجز ؛ - يخضع لفحص طبي، بامر من االداره، كل شخص حاصل علي رخصه سياقه تسبب في حادثه 2 .سير نجم عنها قتل غير عمدي يجب علي الطبيب الذي عاين االصابه بالمرض او العجز ان يخبر فورا االداره التي تقوم في اجل ثالثين يوما باستدعاء المعني باالمر، من اجل الفحص الطبي االجباري. يجب كذلك ان يقوم باخبار االداره، بعد ان يكون قد خضع لفحص طبي ماليم داخل اجل ال يزيد علي شهر واحد يبتدي من تاريخ الفحص الطبي المذكور، كل شخص حاصل علي رخصه للسياقه تعرض لحادثه اصيب بسببها بمرض او عجز اثر في قدراته البدنيه او العقليه، او تعرض الي عارض او مرض اخر اثر في تلك القدرات.,non specifie,,,,,"permis, accident",obligation,False,False,code de la route MA52_05.pdf,pretrained_sentence_transformer,4
16,تجري الفحوص الطبيه االجباريه المفروضه بموجب هذا القانون من قبل اطباء من القطاع العام بعده. ويقوم عند االقتضاء 21 او من القطاع الخاص يستوفون الشروط المنصوص عليها في الماده باجراء الفحص متخصص او متخصصون حسب طبيعه الفحص الالزم اجراوه. 9 االمانه العامه للحكومه 17 الماده بتاريخ 1.16.106 الصادر بتنفيذه الظهري الرشيف رقم 116.14 (نسخت وعوضت مبوجب الماده الثانيه من القانون رقم )5879 :)، ص 2016 اغسطس 11( 1437 ذي القعده 7 بتاريخ 6490 )، ج.ر عدد 2016 يوليو 18 ( 1437 من شوال 13 اعاله، شهاده الي المعني باالمر 14 و12 يسلم الطبيب الذي قام بالفحص الطبي وفق احكام المادتين لالدالء بها الي االداره المختصه، تثبت انه قادر علي السياقه، او قادر علي السياقه مع مراعاه التقييدات بعده، او انه غير قادر علي السياقه. 18 المشار اليها في الماده تحتفظ االداره بنسخه من شهاده الفحص الطبي لتحيين المعطيات المتعلقه برخصه السياقه في الجذاذيه الوطنيه لرخصه السياقه وتعيد الشهاده االصليه الي المعني باالمر قصد االدالء بها العوان المراقبه كلما طلب منه ذلك كاثبات لخضوعه لهذا الفحص، ما لم يتم وضع نظام الي يسمح لالعوان محرري المحاضر بقراءه البيانات المتعلقه بالفحص الطبي المسجله علي الحالم المحرره فيه رخصه السياقه.,non specifie,,,,,permis,autre,False,False,code de la route MA52_05.pdf,pretrained_sentence_transformer,4
18,من 13 بتاريخ 1.16.106 الصادر بتنفيذه الظهري الرشيف رقم 116.14 (غريت ومتمت مبوجب الماده االويل من القانون رقم )5867 :)، ص 2016 اغسطس 11( 1437 ذي القعده 7 بتاريخ 6490 )، ج.ر عدد 2016 يوليو 18( 1437 شوال اعاله، الي االداره المختصه، نسخه 15 يوجه الطبيب الذي قام بالفحص الطبي، طبقا الحكام الماده من الشهاده التي سلمها للمعني باالمر والتي تثبت : - اما انه يمكن لصاحب رخصه السياقه االستمرار في استعمال رخصته، شريطه الخضوع، ان 1 ضي الحال، لفحص طبي تكميلي يحدد الطبيب تاريخ اجرايه ؛�اقت - واما انه يجوز لصاحب رخصه السياقه االستمرار في استعمال رخصته، لكن مع مراعاه 2 التقييدات المتعلقه بالسياقه في ظروف خاصه، وعند االقتضاء، داخل اجل محدد ؛ - واما ان صاحب الرخصه مصاب بمرض او عجز يستلزم تهييه ماليمه للمركبه او حمل 3 ضي خاصين، او هما معا ؛�او استعمال السايق الله او لجهاز طبي تعوي - واما ان السايق مصاب بمرض او عجز يتنافي مع السياقه علي الطريق العموميه. 4 من هذه الماده، رخصه سياقه جديده مقابل 3 و2 تسلم في الحاالت المنصوص عليها في البندين الرخصه القديمه، تبين نوع التقييد المفروض او تهييه المركبه، او هما معا، دون حاجه الجتياز المعني باالمر المتحان جديد للحصول علي رخصه السياقه. من هذه الماده. غير انه اذا 4 تسحب رخصه السياقه او تلغي في الحاله المنصوص عليها في البند كان سحب او الغاء رخصه السياقه مبررا بعجز بدني يهم صنفا او اكثر من المركبات، فان السحب او االلغاء ال يطبق اال علي الصنف او االصناف المعنيه. 10 االمانه العامه للحكومه19 الماده اذا نازع صاحب رخصه السياقه او االداره في استنتاجات الطبيب المضمنه في الشهاده الطبيه، يخضع المعني باالمر، بطلب منه او بطلب من االداره، لفحص طبي مضاد تجريه لجنه طبيه لالستيناف بعده. 21 تتكون وفق احكام الماده ال يجوز للطبيب الذي قام باجراء الفحص الطبي موضوع االستيناف ان يكون عضوا في اللجنه الطبيه لالستيناف.,vehicule leger / voiture,,,,,permis,sanction,False,True,code de la route MA52_05.pdf,pretrained_sentence_transformer,2
20,اذا نازع صاحب رخصه السياقه او االداره في استنتاجات اللجنه الطبيه لالستيناف، يخضع المعني باالمر، بطلب منه او بطلب من االداره، لفحص طبي مضاد يجريه طبيب خبير يعين بامر من رييس المحكمه االبتداييه التابع لدايره نفوذها المكان الذي يقيم فيه صاحب الرخصه. من القانون المتعلق 148 يتم تقديم الطلب والبت فيه وفق الشكليات المنصوص عليها في الماده بالمسطره المدنيه .,non specifie,,,,,permis,autre,False,False,code de la route MA52_05.pdf,pretrained_sentence_transformer,1
21,19 و16 تعتمد االداره االطباء واالطباء اعضاء اللجنه الطبيه لالستيناف المشار اليهم في المادتين اعاله، الموهلين لتسليم الشهادات الطبيه المنصوص عليها في هذا الفرع، اذا اثبتوا توفرهم علي معارف علميه وتجهيزات خاصه وماليمه تحدد االداره اليحتها بعد استطالع راي المجلس الوطني لهييه االطباء الوطنيه وتنشر هذه الاليحه بالجريده الرسميه وتبلغها للمجلس المذكور. تخضع الاليحه المعتمده من طرف االداره للتحيين كلما دعت الضروره لذلك. تحدد االداره االتعاب الواجب اداوها عن الفحوص الطبيه االجباريه المنصوص عليها في هذا الفرع، بعد استطالع راي المجلس الوطني لهييه االطباء الوطنيه والهييات المهنيه المعنيه. الباب الرابع تخصيص النقط لرخصه السياقه 1 الفرع احكام عامه,non specifie,,,,,permis,autre,False,False,code de la route MA52_05.pdf,pretrained_sentence_transformer,1
22,يخصص رصيد من النقط لرخصه السياقه. ويخفض هذا الرصيد بقوه القانون اذا ادين صاحب الرخصه من اجل مخالفه تستوجب هذا التخفيض او ادي الغرامه التصالحيه والجزافيه في الحاالت المنصوص عليها في هذا القانون وفي النصوص الصادره لتطبيقه. يمكن استرجاع النقط وفق الشروط المحدده في هذا القانون. تلغي رخصه السياقه عند نفاد رصيد النقط المخصص لها. 11 االمانه العامه للحكومه2 الفرع رخصه السياقه للفتره االختباريه,non specifie,,,,,permis,sanction,False,False,code de la route MA52_05.pdf,pretrained_sentence_transformer,1
23,بتاريخ 1.16.106 الصادر بتنفيذه الظهري الرشيف رقم 116.14 (نسخت وعوضت مبوجب الماده الثانيه من القانون رقم )5880 :)، ص 2016 اغسطس 11( 1437 ذي القعده 7 بتاريخ 6490 )، ج.ر عدد 2016 يوليو 18 ( 1437 من شوال 13 اعاله، علي رخصه السياقه 10 يحصل المترشح الذي اجتاز بنجاح االختبارات المشار اليها في الماده صالحه للصنف او االصناف المعنيه بهذه االختبارات. ) لفتره B( »ب«) و A( »ا«) و A 1( »1 ا« يخضع كل مترشح حصل علي رخصه السياقه من االصناف اختباريه تحدد مدتها في سنتين. نقطه. 20 يخصص لرخصه السياقه من االصناف السالفه الذكر خالل الفتره االختباريه رصيد من,non specifie,,,,20.0,permis,autre,False,False,code de la route MA52_05.pdf,pretrained_sentence_transformer,2
24,بتاريخ 1.16.106 الصادر بتنفيذه الظهري الرشيف رقم 116.14 (نسخت وعوضت مبوجب الماده الثانيه من القانون رقم )5880 :)، ص 2016 اغسطس 11( 1437 ذي القعده 7 بتاريخ 6490 )، ج.ر عدد 2016 يوليو 18( 1437 من شوال 13 تلغي الرخصه بقوه القانون ابتداء من تاريخ فقدان اخر نقطه من الرصيد المخصص لرخصه السياقه خالل الفتره االختباريه. ال يمكن لصاحب الرخصه الملغاه اجتياز االختبارات مره اخري الجل الحصول علي رخصه سياقه ) اشهر علي االقل من تاريخ تسليم رخصه السياقه الملغاه الخاصه به 6( ضي سته�جديده، اال بعد م للعون محرر المحضر او لالداره وخضوعه لدوره في التربيه علي السالمه الطرقيه في موسسه مرخص لها وفق احكام هذا القانون. ) نقطه ويخضع 20( في حاله نجاحه تسلم له رخصه سياقه جديده، يخصص لها رصيد من عشرين لفتره اختباريه جديده مدتها سنتان.,non specifie,,,,20.0,permis,autre,False,False,code de la route MA52_05.pdf,pretrained_sentence_transformer,2
